NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.102,1.106,1.1094,1.1122,1.1143,1.1155,1.116,1.1155,1.1141,1.1116,1.1082,1.1037,1.098,1.0913,1.0834,1.0744,1.0643,1.053,1.0406,1.0271,1.0125,0.99679,0.98011,0.96243,0.94382,0.92432,0.90398,0.88286,0.86103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0553,1.0618,1.0684,1.0748,1.081,1.087,1.0925,1.0977,1.1022,1.1062,1.1095,1.112,1.1138,1.1146,1.1146,1.1136,1.1115,1.1084,1.1043,1.0991,1.0927,1.0852,1.0766,1.0669,1.0561,1.0441,1.0311,1.017,1.0019,0.98582,0.96878,0.95085,0.93208,0.91251,0.89222,0.87125,0.84969,0.8276,0.80505,0.78212,0.75888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99765,1.0035,1.0097,1.0164,1.0234,1.0305,1.0378,1.0452,1.0525,1.0596,1.0665,1.073,1.0792,1.0848,1.0899,1.0944,1.0981,1.101,1.1032,1.1044,1.1047,1.104,1.1022,1.0995,1.0956,1.0907,1.0847,1.0775,1.0693,1.0599,1.0494,1.0379,1.0253,1.0117,0.99711,0.98157,0.96513,0.94784,0.92975,0.91092,0.89141,0.87128,0.8506,0.82945,0.80789,0.786,0.76384,0.74151,0.71906,0.69658,0.67414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.94803,0.95209,0.95694,0.9625,0.96868,0.97541,0.9826,0.99015,0.99796,1.006,1.014,1.0221,1.0301,1.0378,1.0453,1.0524,1.0591,1.0652,1.0707,1.0756,1.0796,1.0829,1.0853,1.0868,1.0874,1.0869,1.0855,1.0829,1.0793,1.0746,1.0688,1.0619,1.0539,1.0449,1.0347,1.0236,1.0114,0.99819,0.98406,0.96903,0.95314,0.93645,0.91901,0.90088,0.88211,0.86279,0.84297,0.82272,0.80211,0.78122,0.76012,0.73888,0.71758,0.69628,0.67507,0.654,0.63314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89917,0.8993,0.90054,0.90284,0.90614,0.91037,0.91545,0.92132,0.92788,0.93505,0.94273,0.95082,0.95924,0.96789,0.97666,0.98547,0.99421,1.0028,1.0111,1.0191,1.0267,1.0338,1.0403,1.0461,1.0513,1.0556,1.0591,1.0618,1.0635,1.0642,1.0639,1.0626,1.0602,1.0567,1.0522,1.0466,1.0399,1.0321,1.0233,1.0134,1.0026,0.99072,0.97792,0.96422,0.94966,0.93429,0.91816,0.90134,0.88387,0.86582,0.84727,0.82827,0.80889,0.78921,0.76929,0.74921,0.72904,0.70885,0.6887,0.66867,0.64882,0.62921,0.6099,0.59096,0.57242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.86044,0.85661,0.85408,0.85283,0.85282,0.85401,0.85633,0.85973,0.86414,0.86947,0.87564,0.88256,0.89015,0.89829,0.9069,0.91588,0.92512,0.93454,0.94402,0.95347,0.96281,0.97192,0.98074,0.98916,0.99712,1.0045,1.0113,1.0174,1.0227,1.0272,1.0309,1.0337,1.0354,1.0363,1.0361,1.0348,1.0325,1.0292,1.0247,1.0192,1.0127,1.0051,0.99645,0.98681,0.9762,0.96465,0.95219,0.93888,0.92475,0.90987,0.89427,0.87803,0.8612,0.84384,0.82603,0.80782,0.78929,0.7705,0.75153,0.73244,0.7133,0.69418,0.67515,0.65627,0.63759,0.61919,0.60111,0.58341,0.56613,0.54931,0.53299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8243,0.81726,0.81164,0.80744,0.80464,0.8032,0.8031,0.80426,0.80664,0.81017,0.81476,0.82033,0.82679,0.83406,0.84203,0.8506,0.85969,0.86917,0.87897,0.88896,0.89906,0.90916,0.91917,0.929,0.93855,0.94774,0.95649,0.96471,0.97233,0.97929,0.98552,0.99096,0.99556,0.99927,1.002,1.0039,1.0047,1.0045,1.0033,1.001,0.99764,0.99326,0.98782,0.98135,0.97387,0.96538,0.95593,0.94554,0.93426,0.92211,0.90915,0.89543,0.881,0.86591,0.85022,0.834,0.81731,0.80022,0.78278,0.76506,0.74714,0.72909,0.71096,0.69282,0.67475,0.65679,0.63902,0.62148,0.60424,0.58734,0.57084,0.55476,0.53915,0.52404,0.50944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80579,0.79376,0.78319,0.77413,0.76659,0.76058,0.75608,0.75306,0.7515,0.75133,0.75251,0.75496,0.75861,0.76338,0.76918,0.77592,0.78351,0.79183,0.8008,0.81031,0.82026,0.83055,0.84107,0.85172,0.8624,0.87302,0.88348,0.89369,0.90356,0.91302,0.92197,0.93036,0.9381,0.94513,0.9514,0.95685,0.96143,0.9651,0.96783,0.96959,0.97035,0.97008,0.96879,0.96646,0.9631,0.9587,0.95328,0.94685,0.93944,0.93106,0.92176,0.91156,0.9005,0.88864,0.87601,0.86267,0.84866,0.83406,0.81891,0.80328,0.78723,0.77083,0.75414,0.73722,0.72014,0.70298,0.68578,0.66862,0.65155,0.63464,0.61794,0.6015,0.58538,0.56962,0.55426,0.53933,0.52487,0.5109,0.49744,0.4845,0.47208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78625,0.77045,0.75613,0.74336,0.73217,0.7226,0.71465,0.70832,0.70358,0.70041,0.69875,0.69856,0.69976,0.7023,0.70608,0.71102,0.71704,0.72403,0.7319,0.74055,0.74987,0.75976,0.77012,0.78084,0.79182,0.80296,0.81415,0.82531,0.83633,0.84712,0.8576,0.86768,0.87729,0.88634,0.89478,0.90253,0.90954,0.91575,0.92111,0.92559,0.92915,0.93175,0.93337,0.93399,0.9336,0.93219,0.92976,0.92631,0.92185,0.9164,0.90997,0.90259,0.89429,0.8851,0.87507,0.86422,0.85261,0.84029,0.82731,0.81372,0.79958,0.78495,0.76989,0.75447,0.73874,0.72277,0.70663,0.69037,0.67407,0.65778,0.64156,0.62547,0.60957,0.5939,0.57853,0.56348,0.54881,0.53455,0.52072,0.50736,0.49447,0.48208,0.47019,0.45879,0.44787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
