NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30413,0.31198,0.31897,0.32502,0.33007,0.33405,0.3369,0.33856,0.33898,0.33812,0.33595,0.33242,0.32751,0.3212,0.31347,0.30432,0.29375,0.28175,0.26835,0.25355,0.23738,0.21986,0.20104,0.18095,0.15963,0.13713,0.11352,0.088841,0.063163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25812,0.27024,0.28205,0.29347,0.30439,0.31475,0.32444,0.3334,0.34154,0.34878,0.35507,0.36031,0.36447,0.36747,0.36926,0.3698,0.36905,0.36697,0.36354,0.35873,0.35251,0.3449,0.33587,0.32543,0.31359,0.30036,0.28577,0.26984,0.2526,0.23409,0.21435,0.19343,0.17138,0.14825,0.12411,0.099021,0.073046,0.046256,0.018724,-0.0094767,-0.038271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19794,0.21072,0.22368,0.23676,0.24985,0.26287,0.27572,0.28833,0.30059,0.31241,0.32371,0.3344,0.34439,0.3536,0.36196,0.3694,0.37583,0.38121,0.38546,0.38853,0.39038,0.39097,0.39025,0.3882,0.38478,0.37999,0.37381,0.36623,0.35726,0.34689,0.33515,0.32205,0.30761,0.29187,0.27486,0.25662,0.23719,0.21662,0.19497,0.17229,0.14865,0.12411,0.098735,0.072598,0.045769,0.018321,-0.0096702,-0.038131,-0.066986,-0.09616,-0.12558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15486,0.16676,0.17916,0.19198,0.20514,0.21856,0.23215,0.24582,0.25948,0.27303,0.28638,0.29943,0.31209,0.32428,0.33589,0.34684,0.35706,0.36646,0.37496,0.3825,0.38901,0.39442,0.39869,0.40176,0.40358,0.40413,0.40336,0.40125,0.39779,0.39295,0.38672,0.37912,0.37014,0.35979,0.34809,0.33506,0.32073,0.30513,0.2883,0.27028,0.25111,0.23086,0.20957,0.18731,0.16414,0.14011,0.1153,0.089786,0.063627,0.036899,0.009676,-0.01797,-0.045965,-0.074239,-0.10272,-0.13134,-0.16002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10074,0.10984,0.11977,0.13047,0.14188,0.15394,0.16658,0.1797,0.19324,0.2071,0.22119,0.23541,0.24967,0.26387,0.27791,0.2917,0.30514,0.31814,0.3306,0.34245,0.35359,0.36394,0.37343,0.38199,0.38954,0.39603,0.40139,0.40559,0.40856,0.41028,0.4107,0.40981,0.40757,0.40398,0.39902,0.39269,0.385,0.37596,0.36557,0.35385,0.34085,0.32657,0.31107,0.29438,0.27654,0.25761,0.23764,0.21668,0.1948,0.17205,0.14851,0.12424,0.099314,0.073794,0.047755,0.021267,-0.0055977,-0.032769,-0.060178,-0.087757,-0.11544,-0.14317,-0.17087,-0.19851,-0.22602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.062006,0.068004,0.075016,0.08302,0.091981,0.10185,0.11258,0.1241,0.13634,0.14921,0.16265,0.17655,0.19082,0.20537,0.22011,0.23492,0.24972,0.2644,0.27887,0.29302,0.30677,0.32002,0.33268,0.34466,0.35589,0.36629,0.37577,0.38428,0.39175,0.39813,0.40335,0.40738,0.41017,0.4117,0.41192,0.41082,0.40838,0.4046,0.39945,0.39296,0.38513,0.37596,0.36548,0.3537,0.34067,0.32642,0.31097,0.29438,0.27669,0.25796,0.23824,0.21758,0.19605,0.17371,0.15063,0.12687,0.1025,0.077586,0.052206,0.026423,0.00030715,-0.026074,-0.052654,-0.07937,-0.10616,-0.13296,-0.15973,-0.1864,-0.21294,-0.2393,-0.26545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0337,0.037056,0.041547,0.04717,0.053908,0.06173,0.070595,0.080448,0.09123,0.10287,0.11529,0.12841,0.14213,0.15638,0.17104,0.18602,0.20123,0.21656,0.2319,0.24717,0.26225,0.27705,0.29148,0.30543,0.31883,0.33158,0.3436,0.35481,0.36514,0.37452,0.38288,0.39018,0.39634,0.40133,0.40511,0.40764,0.40889,0.40883,0.40746,0.40475,0.4007,0.39532,0.38861,0.38057,0.37123,0.36061,0.34874,0.33565,0.32137,0.30595,0.28943,0.27186,0.2533,0.2338,0.21341,0.19221,0.17025,0.1476,0.12432,0.10049,0.076159,0.051408,0.026301,0.00090334,-0.02472,-0.050508,-0.076398,-0.10233,-0.12826,-0.15413,-0.17989,-0.20551,-0.23095,-0.25617,-0.28116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01035,0.0095666,0.0099657,0.011584,0.014439,0.018535,0.023859,0.030385,0.038076,0.046882,0.056746,0.0676,0.079368,0.09197,0.10532,0.11932,0.13388,0.1489,0.16428,0.17991,0.1957,0.21154,0.22733,0.24296,0.25834,0.27337,0.28796,0.30202,0.31545,0.32818,0.34013,0.35122,0.36138,0.37055,0.37867,0.38568,0.39155,0.39622,0.39966,0.40184,0.40274,0.40234,0.40062,0.39758,0.39322,0.38754,0.38055,0.37227,0.36272,0.35192,0.33991,0.32672,0.31239,0.29697,0.28049,0.26302,0.24461,0.2253,0.20517,0.18427,0.16267,0.14043,0.11761,0.094286,0.070518,0.046372,0.021912,-0.0027977,-0.027696,-0.052725,-0.077827,-0.10295,-0.12804,-0.15306,-0.17796,-0.20271,-0.22728,-0.25164,-0.27578,-0.29969,-0.32336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.004776,-0.0087577,-0.011542,-0.013067,-0.013288,-0.012181,-0.0097354,-0.0059584,-0.00087034,0.0054959,0.013096,0.021874,0.031768,0.042703,0.054602,0.067378,0.08094,0.095195,0.11004,0.12538,0.14111,0.15713,0.17333,0.1896,0.20585,0.22197,0.23786,0.25343,0.26858,0.28322,0.29726,0.31061,0.32321,0.33497,0.34583,0.35572,0.36457,0.37235,0.379,0.38447,0.38874,0.39177,0.39353,0.39401,0.39319,0.39107,0.38764,0.38291,0.37689,0.36958,0.36102,0.35122,0.34022,0.32804,0.31473,0.30032,0.28487,0.26842,0.25102,0.23273,0.21361,0.19371,0.1731,0.15183,0.12998,0.10761,0.084771,0.061538,0.037971,0.014133,-0.0099183,-0.034123,-0.058427,-0.082778,-0.10713,-0.13143,-0.15564,-0.17973,-0.20367,-0.22743,-0.25099,-0.27434,-0.29749,-0.32042,-0.34316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
