NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.018829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.037394,-0.036839,-0.036589,-0.03667,-0.037105,-0.037912,-0.039104,-0.040692,-0.042683,-0.045081,-0.047887,-0.051101,-0.054719,-0.058735,-0.063143,-0.067934,-0.073098,-0.078623,-0.084499,-0.090713,-0.09725,-0.1041,-0.11124,-0.11867,-0.12636,-0.1343,-0.14248,-0.15088,-0.15949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.11265,-0.10848,-0.10447,-0.1007,-0.097191,-0.093997,-0.091151,-0.088683,-0.086618,-0.084979,-0.083781,-0.083039,-0.08276,-0.082953,-0.08362,-0.084761,-0.086374,-0.088456,-0.091001,-0.094,-0.097444,-0.10132,-0.10563,-0.11034,-0.11545,-0.12094,-0.12681,-0.13303,-0.13959,-0.14648,-0.15369,-0.16119,-0.16898,-0.17704,-0.18536,-0.19392,-0.20272,-0.21173,-0.22095,-0.23037,-0.23996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2014,-0.19443,-0.18743,-0.18047,-0.17363,-0.16697,-0.16055,-0.15443,-0.14864,-0.14323,-0.13823,-0.13367,-0.12959,-0.12598,-0.12288,-0.1203,-0.11824,-0.11671,-0.11572,-0.11525,-0.11532,-0.11591,-0.11701,-0.11863,-0.12074,-0.12334,-0.12642,-0.12996,-0.13395,-0.13837,-0.14321,-0.14846,-0.1541,-0.16012,-0.16649,-0.17322,-0.18028,-0.18766,-0.19535,-0.20334,-0.21162,-0.22017,-0.22898,-0.23805,-0.24737,-0.25692,-0.26669,-0.27668,-0.28687,-0.29724,-0.3078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2839,-0.27459,-0.26512,-0.2556,-0.2461,-0.23672,-0.22752,-0.21856,-0.2099,-0.20159,-0.19367,-0.18619,-0.17918,-0.17267,-0.16668,-0.16123,-0.15633,-0.15201,-0.14826,-0.14509,-0.1425,-0.1405,-0.13908,-0.13822,-0.13794,-0.13821,-0.13902,-0.14037,-0.14223,-0.14461,-0.14747,-0.15082,-0.15462,-0.15887,-0.16355,-0.16865,-0.17415,-0.18003,-0.18629,-0.19291,-0.19987,-0.20718,-0.21481,-0.22275,-0.23101,-0.23956,-0.2484,-0.25753,-0.26693,-0.27661,-0.28654,-0.29674,-0.30718,-0.31786,-0.32878,-0.33992,-0.35127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.37926,-0.3684,-0.35711,-0.34553,-0.33376,-0.3219,-0.31004,-0.29827,-0.28665,-0.27528,-0.26419,-0.25346,-0.24313,-0.23325,-0.22384,-0.21496,-0.20662,-0.19884,-0.19166,-0.18508,-0.17911,-0.17376,-0.16903,-0.16494,-0.16147,-0.15862,-0.15638,-0.15476,-0.15372,-0.15328,-0.15341,-0.15409,-0.15532,-0.15708,-0.15935,-0.16212,-0.16537,-0.16908,-0.17324,-0.17783,-0.18284,-0.18825,-0.19406,-0.20024,-0.20679,-0.21369,-0.22094,-0.22852,-0.23643,-0.24467,-0.25322,-0.26208,-0.27125,-0.28073,-0.2905,-0.30058,-0.31095,-0.32161,-0.33256,-0.34379,-0.35531,-0.36709,-0.37912,-0.39141,-0.40392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4663,-0.45415,-0.44139,-0.42813,-0.41452,-0.40065,-0.38665,-0.37261,-0.35862,-0.34477,-0.33112,-0.31775,-0.30471,-0.29208,-0.27988,-0.26817,-0.25699,-0.24636,-0.23632,-0.22688,-0.21807,-0.20991,-0.20239,-0.19554,-0.18935,-0.18382,-0.17896,-0.17475,-0.1712,-0.16829,-0.16601,-0.16435,-0.1633,-0.16284,-0.16295,-0.16363,-0.16485,-0.1666,-0.16885,-0.1716,-0.17482,-0.1785,-0.18263,-0.18718,-0.19215,-0.19751,-0.20326,-0.20939,-0.21588,-0.22273,-0.22993,-0.23747,-0.24534,-0.25355,-0.26209,-0.27096,-0.28015,-0.28967,-0.29952,-0.3097,-0.32021,-0.33105,-0.34222,-0.35372,-0.36555,-0.37771,-0.39019,-0.40297,-0.41606,-0.42942,-0.44305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.54012,-0.52644,-0.51204,-0.49707,-0.48167,-0.46595,-0.45004,-0.43402,-0.41801,-0.40209,-0.38634,-0.37083,-0.35564,-0.34083,-0.32644,-0.31253,-0.29914,-0.28631,-0.27408,-0.26245,-0.25147,-0.24115,-0.23151,-0.22255,-0.21428,-0.2067,-0.19982,-0.19364,-0.18815,-0.18334,-0.1792,-0.17573,-0.17291,-0.17072,-0.16916,-0.1682,-0.16783,-0.16803,-0.16878,-0.17006,-0.17187,-0.17417,-0.17695,-0.18019,-0.18388,-0.188,-0.19254,-0.19748,-0.20281,-0.20852,-0.2146,-0.22104,-0.22783,-0.23497,-0.24246,-0.25029,-0.25845,-0.26696,-0.27581,-0.285,-0.29454,-0.30443,-0.31468,-0.32528,-0.33626,-0.3476,-0.35932,-0.37142,-0.38389,-0.39674,-0.40997,-0.42356,-0.4375,-0.45178,-0.46638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.62497,-0.61102,-0.59609,-0.58035,-0.56395,-0.54702,-0.5297,-0.5121,-0.49434,-0.47652,-0.45873,-0.44107,-0.42361,-0.40642,-0.38958,-0.37314,-0.35716,-0.34168,-0.32675,-0.31241,-0.29868,-0.2856,-0.27319,-0.26146,-0.25044,-0.24012,-0.23053,-0.22165,-0.21351,-0.20608,-0.19937,-0.19337,-0.18807,-0.18346,-0.17952,-0.17625,-0.17363,-0.17163,-0.17025,-0.16946,-0.16925,-0.16959,-0.17047,-0.17187,-0.17377,-0.17615,-0.17899,-0.18228,-0.18599,-0.19013,-0.19466,-0.19958,-0.20488,-0.21055,-0.21658,-0.22296,-0.22968,-0.23675,-0.24417,-0.25193,-0.26003,-0.26848,-0.27728,-0.28644,-0.29596,-0.30586,-0.31614,-0.32681,-0.33787,-0.34934,-0.36123,-0.37354,-0.38628,-0.39945,-0.41305,-0.42708,-0.44153,-0.45639,-0.47164,-0.48726,-0.50321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.69362,-0.67886,-0.66301,-0.64623,-0.62868,-0.61051,-0.59184,-0.57282,-0.55355,-0.53415,-0.51471,-0.49534,-0.47611,-0.45711,-0.43841,-0.42008,-0.40217,-0.38474,-0.36783,-0.3515,-0.33577,-0.32067,-0.30625,-0.29251,-0.27948,-0.26717,-0.25559,-0.24476,-0.23467,-0.22532,-0.21672,-0.20886,-0.20173,-0.19533,-0.18963,-0.18464,-0.18033,-0.17669,-0.17371,-0.17135,-0.16961,-0.16847,-0.1679,-0.16789,-0.16842,-0.16946,-0.17099,-0.17301,-0.17548,-0.1784,-0.18174,-0.18549,-0.18963,-0.19416,-0.19906,-0.20432,-0.20993,-0.21589,-0.2222,-0.22884,-0.23582,-0.24315,-0.25081,-0.25883,-0.26719,-0.27592,-0.28501,-0.29449,-0.30436,-0.31463,-0.32532,-0.33643,-0.34799,-0.36,-0.37247,-0.38542,-0.39885,-0.41277,-0.42717,-0.44206,-0.45743,-0.47327,-0.48955,-0.50624,-0.52332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
